title,authors,organization,publication_date,citation,filename,score
ACR Appropriateness Criteria: Postpartum Hemorrhage,"Jennifer W. Uyeda, Elizabeth George, Caroline Reinhold, Esma A. Akin, Susan M. Ascher, Olga R. Brook, Tara L. Henrichsen, Patricia C. Henwood, Lee A. Learman, Katherine E. Maturen, Michael N. Patlas, Jessica B. Robbins, Elizabeth A. Sadowski, Carl Saphier, Darci J. Wall, Phyllis Glanc",American College of Radiology (ACR),2020,"Uyeda, J. W., George, E., Reinhold, C., Akin, E. A., Ascher, S. M., Brook, O. R., Henrichsen, T. L., Henwood, P. C., Learman, L. A., Maturen, K. E., Patlas, M. N., Robbins, J. B., Sadowski, E. A., Saphier, C., Wall, D. J., & Glanc, P. (2020). ACR Appropriateness Criteria: Postpartum Hemorrhage. Journal of the American College of Radiology, 17(S11), S459-S471.",ACR_Appropriateness_Criteria_Postpartum_Hemorrhage.pdf,86.945
Prevention and Management of Postpartum Hemorrhage,"Brittany-Lyne Carriere, Elizabeth Cates, Brianna Cavan, Kim Cleland, Abigail Corbin, Vanessa Hébert (chair), Cathy Kipp, Tasha MacDonald, Joanne Rack, Maryam Rahimi-Chatri, Hayley Ross, Kyla Wong, Sarilyn Zimmerman, Anya Kortenaar, Rachel Warren, Alexa Minichiello",Association of Ontario Midwives,2024,Association of Ontario Midwives. (2024). Prevention and Management of Postpartum Hemorrhage. Clinical Practice Guideline No. 17. Toronto: Association of Ontario Midwives.,CPG_Prevention_and_Management_of_Postpartum_Hemorrhage.pdf,88
FIGO recommendations on the management of postpartum hemorrhage 2022,"Maria Fernanda Escobar, Anwar H. Nassar, Gerhard Theron, Eythan R. Barnea, Wanda Nicholson, Diana Ramasauskaite, Isabel Lloyd, Edwin Chandraharan, Suellen Miller, Thomas Burke, Gabriel Ossanan, Javier Andres Carvajal, Isabella Ramos, Maria Antonia Hincapie, Sara Loaiza, Daniela Nasner, FIGO Safe Motherhood and Newborn Health Committee",International Federation of Gynecology and Obstetrics (FIGO),2022,"Escobar, M. F., Nassar, A. H., Theron, G., Barnea, E. R., Nicholson, W., Ramasauskaite, D., Lloyd, I., Chandraharan, E., Miller, S., Burke, T., Ossanan, G., Carvajal, J. A., Ramos, I., Hincapie, M. A., Loaiza, S., Nasner, D., & FIGO Safe Motherhood and Newborn Health Committee. (2022). FIGO recommendations on the management of postpartum hemorrhage 2022. International Journal of Gynecology & Obstetrics, 157(Suppl. 1), 3–50. https://doi.org/10.1002/ijgo.14116",FIGO_recommendations_on_the_management_of_postpartum.pdf,88.655
Guía de hemorragia posparto Código Rojo,"Gustavo Francisco Petro Urrego, Mauricio Alberto Bustamante García, Giovanni Rubiano García, Elsa Graciela Martínez Echeverri, Consuelo Peña Aponte, Tatiana Valentina Cabrera Sierra, Jorge Eduardo Caro Caro, Héctor Augusto González Galindo, Alvinzy II Velázquez Becerra, Reinaldo Niño Alba, Mauricio Jiménez Romero, Claudia Marcela Villacis Becerra, Jesús Alberto Echevarría Baquero, Oriana Obagi Orozco, Gustavo Patiño Díaz, Juan Carlos Vera Garzón",Secretaría Distrital de Salud de Bogotá,2014,"Secretaría Distrital de Salud. (2014). Guía de hemorragia posparto Código Rojo. Bogotá, Colombia.",Guía_de_hemorragia_posparto_Código_Rojo.pdf,82.7
Guideline No. 431: Postpartum Hemorrhage and Hemorrhagic Shock,"Debbie Robinson, Melanie Basso, Cynthia Chan, Kirsten Duckitt, Ryan Lett",Society of Obstetricians and Gynaecologists of Canada (SOGC),December 2022,"Robinson, D., Basso, M., Chan, C., Duckitt, K., & Lett, R. (2022). Guideline No. 431: Postpartum Hemorrhage and Hemorrhagic Shock. Journal of Obstetrics and Gynaecology Canada, 44(12), 1293-1310.",Guideline_No._431_Postpartum_Hemorrhage_and_Hemorrhagic_Shock.pdf,84.63
Guidelines for the management of urgent obstetric situations in emergency medicine,"Gilles Bagou, Loïc Sentilhes, Frédéric J. Mercier, Paul Berveiller, Julie Blanc, Eric Cesareo, Pierre-Yves Dewandre, Bénédicte Douai, Aurélie Gloaguen, Max Gonzalez, Philippe Le Conte, Agnès Le Gouez, Hugo Madar, Emeline Maisonneuve, Estelle Morau, Thibaut Rackelboom, Mathias Rossignol, Jeanne Sibiude, Julien Vaux, Alexandre Vivanti, Sybille Goddet, Patrick Rozenberg, Marc Garnier, Anthony Chauvin","French Society of Emergency Medicine (SFMU), French Society of Anaesthesia and Intensive Care Medicine (SFAR), French National College of Gynaecologists and Obstetricians (CNGOF)",2022,"Bagou, G., Sentilhes, L., Mercier, F. J., Berveiller, P., Blanc, J., Cesareo, E., Dewandre, P-Y., et al. (2022). Guidelines for the management of urgent obstetric situations in emergency medicine. Anaesthesia Critical Care & Pain Medicine, 41, 101127.",Guidelines_for_the_management_of_urgent_obstetric_situations_in_emergency_medicine_2022.pdf,87.945
Management of Postpartum Haemorrhage,Berrin Günaydın,"Gazi University Faculty of Medicine, Ankara, Turkey",2022,"Günaydın, B. (2022). Management of postpartum haemorrhage. Turkish Journal of Anaesthesiology and Reanimation, 50(6), 396-402.",Management_of_Postpartum_Haemorrhage.pdf,87.545
National Partnership for Maternal Safety: Consensus Bundle on Obstetric Hemorrhage,"Elliott K. Main, Dena Goffman, Barbara M. Scavone, Lisa Kane Low, Debra Bingham, Patricia L. Fontaine, Jed B. Gorlin, David C. Lagrew, Barbara S. Levy","Council on Patient Safety in Women’s Health Care, American College of Obstetricians and Gynecologists (ACOG), Society for Obstetric Anesthesia and Perinatology, American College of Nurse-Midwives, Association of Women’s Health, Obstetric and Neonatal Nurses (AWHONN), Society for Maternal-Fetal Medicine",2015,"Main, E. K., Goffman, D., Scavone, B. M., Low, L. K., Bingham, D., Fontaine, P. L., Gorlin, J. B., Lagrew, D. C., & Levy, B. S. (2015). National Partnership for Maternal Safety: Consensus Bundle on Obstetric Hemorrhage. Anesthesia & Analgesia, 121(1), 142-148.","National_Partnership_for_,Maternal_Aafety_Consensus_Bundle_on_Obstetric_Hemorrhage.pdf",93.26
New WHO recommendations on prevention and treatment of postpartum hemorrhage,"Özge Tunçalp, João Paulo Souza, Metin Gülmezoglu",World Health Organization (WHO),2013,"Tunçalp, Ö., Souza, J. P., & Gülmezoglu, M. (2013). New WHO recommendations on prevention and treatment of postpartum hemorrhage. International Journal of Gynecology & Obstetrics, 123(3), 254-256.",New_WHO_recommendations_on_prevention_and_treatment_of_postpartum_hemorrhage.pdf,96
Patient blood management in obstetrics: prevention and treatment of postpartum haemorrhage. A NATA consensus statement,"Manuel Muñoz, Jakob Stensballe, Anne-Sophie Ducloy-Bouthors, Marie-Pierre Bonnet, Edoardo De Robertis, Ino Fornet, François Goffinet, Stefan Hofer, Wolfgang Holzgreve, Susana Manrique, Jacky Nizard, François Christory, Charles-Marc Samama, Jean-François Hardy","Network for the Advancement of Patient Blood Management, Haemostasis and Thrombosis (NATA), International Federation of Gynaecology and Obstetrics (FIGO), European Board and College of Obstetrics and Gynaecology (EBCOG), European Society of Anaesthesiology (ESA)",2019,"Muñoz, M., Stensballe, J., Ducloy-Bouthors, A. S., Bonnet, M. P., De Robertis, E., Fornet, I., Goffinet, F., Hofer, S., Holzgreve, W., Manrique, S., Nizard, J., Christory, F., Samama, C. M., & Hardy, J. F. (2019). Patient blood management in obstetrics: prevention and treatment of postpartum haemorrhage. A NATA consensus statement. Blood Transfusion, 17, 112-136. https://doi.org/10.2450/2019.0245-18",Patient_blood_management_in_obstetrics_prevention_and_treatment_of_postpartum_haemorrhage.pdf,93
"Peripartum Haemorrhage, Diagnosis and Therapy. Guideline of the DGGG, OEGGG and SGGG (S2k Level, AWMF Registry No. 015/063, March 2016)","Dietmar Schlembach, Hanns Helmer, Wolfgang Henrich, Christian von Heymann, Franz Kainer, Wolfgang Korte, Maritta Kühnert, Heiko Lier, Holger Maul, Werner Rath, Susanne Steppat, Daniel Surbek, Jürgen Wacker","German Society of Gynaecology and Obstetrics (DGGG), Austrian Society of Gynaecology and Obstetrics (OEGGG), Swiss Society of Gynaecology and Obstetrics (SGGG), German Society of Anaesthesiology and Intensive Medicine (DGAI), Society of Thrombosis and Haemostasis Research (GTH), German Association of Midwives",2018,"Schlembach, D., Helmer, H., Henrich, W., von Heymann, C., Kainer, F., Korte, W., Kühnert, M., Lier, H., Maul, H., Rath, W., Steppat, S., Surbek, D., & Wacker, J. (2018). Peripartum Haemorrhage, Diagnosis and Therapy. Guideline of the DGGG, OEGGG and SGGG (S2k Level, AWMF Registry No. 015/063, March 2016). Geburtsh Frauenheilk, 78, 382–399. https://doi.org/10.1055/a-0582-0122",Peripartum_Haemorrhage_Diagnosis_and_Therapy_Guideline_of_the_DGGG_OEGGG_and_SGGG.pdf,86
Postpartum hemorrhage: guidelines for clinical practice from the French College of Gynaecologists and Obstetricians (CNGOF) in collaboration with the French Society of Anesthesiology and Intensive Care (SFAR),"Loïc Sentilhes, Christophe Vayssière, Catherine Deneux-Tharaux, Antoine Guy Aya, Françoise Bayoumeu, Marie-Pierre Bonnet, Rachid Djoudi, Patricia Dolley, Michel Dreyfus, Chantal Ducroux-Schouwey, Corinne Dupont, Anne François, Denis Gallot, Jean-Baptiste Haumonté, Cyril Huissoud, Gilles Kayem, Hawa Keita, Bruno Langer, Alexandre Mignon, Olivier Morel, Olivier Parant, Jean-Pierre Pelage, Emmanuelle Phan, Mathias Rossignol, Véronique Tessier, Frédéric J. Mercier, François Goffinet","French College of Gynaecologists and Obstetricians (CNGOF), French Society of Anesthesiology and Intensive Care (SFAR)",2016,"Sentilhes, L., Vayssière, C., Deneux-Tharaux, C., Aya, A. G., Bayoumeu, F., Bonnet, M. P., Djoudi, R., Dolley, P., Dreyfus, M., Ducroux-Schouwey, C., Dupont, C., François, A., Gallot, D., Haumonté, J. B., Huissoud, C., Kayem, G., Keita, H., Langer, B., Mignon, A., Morel, O., Parant, O., Pelage, J. P., Phan, E., Rossignol, M., Tessier, V., Mercier, F. J., & Goffinet, F. (2016). Postpartum hemorrhage: guidelines for clinical practice from the French College of Gynaecologists and Obstetricians (CNGOF) in collaboration with the French Society of Anesthesiology and Intensive Care (SFAR). European Journal of Obstetrics & Gynecology and Reproductive Biology, 198, 12–21. https://doi.org/10.1016/j.ejogrb.2015.12.012",Postpartum_hemorrhage_guidelines_for_clinical_practice_from_the_(CNGOF)_in_collaboration_with_the_(SFAR).pdf,Indeterminado
Prevention and treatment of postpartum hemorrhage in low-resource settings,FIGO Safe Motherhood and Newborn Health (SMNH) Committee,International Federation of Gynecology and Obstetrics (FIGO),2012,"FIGO Safe Motherhood and Newborn Health (SMNH) Committee. (2012). Prevention and treatment of postpartum hemorrhage in low-resource settings. International Journal of Gynecology and Obstetrics, 117(2), 108–110. https://doi.org/10.1016/j.ijgo.2012.03.001",Prevention_and_treatment_of_postpartum_hemorrhage_in_low-resource_settings.pdf,88.415
Prise en charge obstétricale initiale en cas d’hémorragie du post-partum,"M. Dreyfus, G. Beucher, A. Mignon, B. Langer",J Gynecol Obstet Biol Reprod,2004,"Dreyfus, M., Beucher, G., Mignon, A., & Langer, B. (2004). Prise en charge obstétricale initiale en cas d’hémorragie du post-partum. J Gynecol Obstet Biol Reprod, 33(suppl. 8), 4S57-4S64.",Prise_en_charge_obstétricale_initiale_en_cas_d’hémorragie_du_post-partum.pdf,92
Review of clinical practice guidelines for postpartum hemorrhage according to AGREE II,"Rongli Zhang, Xiao Cao, Haoxue Feng, Ying Liu, Ping Cui, Hui Jiang",Midwifery,2023,"Zhang, R., Cao, X., Feng, H., Liu, Y., Cui, P., & Jiang, H. (2023). Review of clinical practice guidelines for postpartum hemorrhage according to AGREE II. Midwifery, 121, 103659. https://doi.org/10.1016/j.midw.2023.103659",Review_of_clinical_practice_guidelines_for_postpartum_hemorrhage_according_to_AGREE_II.pdf,80
Standardised Maternal Guideline on the Management of Postpartum Haemorrhage,"Stefan Gebhardt, Edna Arends, Maternal Guidelines Reference Group","Provincial Government of the Western Cape, Western Cape Clinical Guidelines Advisory Committee, South Africa",2007,"Gebhardt S, Arends E, Maternal Guidelines Reference Group. *Standardised Maternal Guideline on the Management of Postpartum Haemorrhage*. SAJOG. 2007 13(3):110-117.",Standardised_Maternal_Guideline_on_the_Management_of_Postpartum_Haemorrhage.pdf,90.21
The daily-practiced post-partum hemorrhage management: an Italian multidisciplinary attended protocol,"G. Affronti, V. Agostini, A. Brizzi, L. Bucci, E. De Blasio, M.G. Frigo, C. Giorgini, M. Messina, A. Ragusa, F. Sirimarco, A. Svelato","Clinica Terapeutica, Roma, Italia",2017,"Affronti, G., Agostini, V., Brizzi, A., Bucci, L., De Blasio, E., Frigo, M. G., Giorgini, C., Messina, M., Ragusa, A., Sirimarco, F., & Svelato, A. (2017). The daily-practiced post-partum hemorrhage management: an Italian multidisciplinary attended protocol. Clin Ter, 168(5), e307-316. https://doi.org/10.7417/T.2017.2026",The_daily-practiced_post-partum_hemorrhage_management_an_Italian_multidisciplinary_attended_protocol.pdf,92.46
Urgences obstétricales extrahospitalières,"G. Bagoua, B. Cabrita, P.-F. Ceccaldi, G. Comte, M. Corbillon-Soubeiran, J.-F. Diependaele, F.-X. Duchateau, O. Dupuis, V. Hamel, A. Launoy, N. Laurenceau-Nicolle, E. Menthonnex, Y. Penverne, T. Rackelboom, A. Rozenberg, C. Telion","Société Française d’Anesthésie et de Réanimation (Sfar), Samu-69, Groupement Hospitalier Édouard-Herriot, Lyon, Francia",2012,"Bagoua G, Cabrita B, Ceccaldi P-F, Comte G, Corbillon-Soubeiran M, Diependaele J-F, Duchateau F-X, Dupuis O, Hamel V, Launoy A, Laurenceau-Nicolle N, Menthonnex E, Penverne Y, Rackelboom T, Rozenberg A, Telion C. *Urgences obstétricales extrahospitalières*. Ann Fr Anesth Reanim. 2012 31:652-665. doi:10.1016/j.annfar.2012.06.001.",Urgences_obstétricales_extrahospitalières.pdf,87.1
